# Copyright (c) 1966-2026 Johns Hopkins University. Use of this file adheres to the terms of the OMIM agreement.
# Generated: 2026-01-15
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr17	43044295	43125483	17q21.31	17q21.31	113705	BRCA1	BRCA1 DNA repair associated	BRCA1	672	ENSG00000012048		{Breast-ovarian cancer, familial, 1}, 604370 (3), Autosomal dominant; {Fanconi anemia, complementation group S}, 617883 (3), Autosomal recessive	Brca1
chr13	32315086	32400266	13q13.1	13q13.1	600185	BRCA2	BRCA2 DNA repair associated	BRCA2	675	ENSG00000139618		{Breast-ovarian cancer, familial, 2}, 612555 (3), Autosomal dominant; {Fanconi anemia, complementation group D1}, 605724 (3), Autosomal recessive	Brca2
chr17	7668421	7687490	17p13.1	17p13.1	191170	TP53	Tumor protein p53	TP53	7157	ENSG00000141510		{Li-Fraumeni syndrome}, 151623 (3), Autosomal dominant; {Adrenocortical carcinoma, hereditary}, 202300 (3), Autosomal dominant; {Choroid plexus papilloma}, 260500 (3), Somatic mutation	Trp53
chr7	117119429	117308718	7q31.2	7q31.2	602421	CFTR	CF transmembrane conductance regulator	CFTR	1080	ENSG00000001626		{Cystic fibrosis}, 219700 (3), Autosomal recessive; {CBAVD}, 277180 (3), Autosomal recessive	Cftr
chrX	31097677	33339441	Xp21.2-p21.1	Xp21.2-p21.1	300377	DMD	Dystrophin	DMD	1756	ENSG00000198947		{Duchenne muscular dystrophy}, 310200 (3), X-linked recessive; {Becker muscular dystrophy}, 300376 (3), X-linked recessive; {Dilated cardiomyopathy, 3B}, 302045 (3), X-linked recessive	Dmd
chr7	55019017	55211628	7p11.2	7p11.2	131550	EGFR	Epidermal growth factor receptor	EGFR	1956	ENSG00000146648		{Lung cancer}, 211980 (3), Somatic mutation; {Inflammatory skin and bowel disease, neonatal, 2}, 616069 (3), Autosomal recessive	Egfr
chr7	140719327	140924929	7q34	7q34	164757	BRAF	B-Raf proto-oncogene, serine/threonine kinase	BRAF	673	ENSG00000157764		{Cardiofaciocutaneous syndrome}, 115150 (3), Autosomal dominant; {Noonan syndrome 7}, 613706 (3), Autosomal dominant; {Colorectal cancer, somatic}, 114500 (3), Somatic mutation	Braf
chr3	36993332	37050918	3p21.3	3p21.3	120436	MLH1	MutL homolog 1	MLH1	4292	ENSG00000076242		{Colorectal cancer, hereditary nonpolyposis, type 2}, 609310 (3), Autosomal dominant; {Mismatch repair cancer syndrome 1}, 276300 (3), Autosomal recessive	Mlh1
chr2	47403067	47709830	2p21-p16.3	2p21-p16.3	609309	MSH2	MutS homolog 2	MSH2	4436	ENSG00000095002		{Colorectal cancer, hereditary nonpolyposis, type 1}, 120435 (3), Autosomal dominant; {Mismatch repair cancer syndrome 2}, 619096 (3), Autosomal recessive	Msh2
chr16	23603160	23641310	16p12.2	16p12.2	610355	PALB2	Partner and localizer of BRCA2	PALB2	79728	ENSG00000083093		{Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant; {Fanconi anemia, complementation group N}, 610832 (3), Autosomal recessive	Palb2
